YDL117W,5
YCR086W,1
YPR111W,1
YMR253C,2
YFL052W,2
YDL227C,4
YDR493W,1
YOL014W,1
YNL289W,4
YKL130C,1
YGL116W,2
YEL032W,1
YOR313C,1
YGR062C,1
YLR455W,1
YPR135W,3
YDL074C,1
YGL021W,2
YKL101W,12
YBL035C,1
YOR195W,1
YOR372C,4
YDR225W,4
YIL050W,5
YHR075C,1
YCL014W,1
YBR157C,2
YGL216W,1
YDR325W,1
YKL209C,3
YGR238C,2
YJL042W,1
YLR342W,7
YDR191W,1
YDR307W,5
YKL096W,2
YKL092C,1
YKL008C,4
YHR152W,2
YJL196C,3
YBL009W,1
YJR147W,13
YLR003C,1
YOR176W,1
YJL157C,1
YGL037C,1
YPR141C,1
YOR101W,1
YBL029W,2
YBL052C,1
YKR077W,1
YOR001W,11
YML085C,1
YLR042C,2
YOR347C,1
YBR158W,2
YNL072W,1
YGL201C,1
YGL175C,1
YNL300W,1
YBR083W,4
YBR139W,2
YOL011W,5
YPL267W,4
YDR501W,1
YKL042W,1
YGR092W,2
YOR342C,1
YDR198C,1
YNL058C,2
YDR097C,1
YMR032W,1
YMR078C,1
YMR132C,1
YMR006C,1
YMR163C,1
YDR480W,1
YDL018C,7
YJL218W,1
YLR276C,1
YOR058C,1
YMR305C,7
YFR053C,1
YLR049C,2
YER104W,1
YGR109C,4
YAL025C,1
YCL061C,1
YMR048W,1
YLR286C,2
YJL078C,1
YBL032W,1
YML102W,2
YLR209C,1
YMR144W,1
YOR073W,1
YDR507C,4
YMR190C,1
YPL183C,1
YLL032C,1
YBR098W,1
YPR018W,1
YNL024C,1
YDR346C,1
YLR273C,1
YEL064C,1
YOR008C,1
YBR015C,15
YFL008W,1
YAL059W,1
YMR299C,1
YPL253C,1
YOL090W,1
YCL024W,10
YML100W,2
YGR068C,1
YAL034W,1
YDL010W,1
YNL160W,2
YDR020C,1
YBL069W,1
YDR451C,7
YAL022C,16
YFR027W,1
YBR138C,2
YIR010W,1
YIL101C,1
YNL055C,15
YGR188C,1
YGR153W,5
YLR382C,1
YOR374W,1
YBL063W,6
YNL014W,1
YOR025W,1
YLR237W,1
YKL113C,4
YDR263C,7
YKR021W,1
YJR043C,1
YER001W,7
YGR108W,2
YDR146C,2
YPR004C,1
YAL007C,1
YDR130C,1
YGR145W,10
YDR219C,1
YGL200C,1
YLR386W,1
YNL263C,1
YFR001W,1
YGR113W,1
YNL056W,2
YGR221C,4
YGL028C,2
YDL063C,1
YBR071W,5
YLR326W,1
YHR092C,1
YCL040W,1
YNL078W,5
YOR049C,2
YNL308C,1
YMR179W,4
YMR009W,1
YLR190W,2
YGR230W,1
YBR010W,2
YLR194C,5
YBR241C,1
YJL091C,1
YPL057C,1
YML058W,1
YCL027W,3
YJL194W,3
YLR045C,1
YMR198W,2
YDL197C,1
YDL039C,1
YDR033W,2
YML020W,1
YOR321W,1
YDL028C,1
YHR086W,3
YFR039C,2
